time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T00:59:25.436Z,63.1,-151.1143,144,1.5,ml,,,,0.49,ak,ak15455929,2017-03-10T01:12:22.380Z,"100km NNW of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-03-10T00:43:05.340Z,36.2878333,-120.8495,10.06,2.52,md,73,96,0.08169,0.07,nc,nc72772276,2017-03-10T04:44:02.326Z,"26km ENE of King City, California",earthquake,0.21,0.31,0.197,76,reviewed,nc,nc
2017-03-10T00:36:50.144Z,62.3723,-147.7759,26.5,3.4,ml,,,,0.54,ak,ak15455917,2017-03-10T00:54:22.040Z,"85km NE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-10T00:26:27.814Z,60.1289,-152.5603,88.6,1.3,ml,,,,0.74,ak,ak15455915,2017-03-10T00:31:58.652Z,"40km SSE of Redoubt Volcano, Alaska",earthquake,,1,,,automatic,ak,ak
2017-03-10T00:20:15.490Z,33.7071667,-116.769,15.5,2.22,ml,100,18,0.04588,0.17,ci,ci37823616,2017-03-10T03:31:58.820Z,"6km SW of Idyllwild, CA",earthquake,0.12,0.24,0.169,134,reviewed,ci,ci
2017-03-10T00:18:39.590Z,34.227,-117.4321667,13.23,1.17,ml,42,55,0.04223,0.16,ci,ci37823608,2017-03-10T01:00:20.300Z,"3km WNW of Devore, CA",earthquake,0.21,0.31,0.154,27,reviewed,ci,ci
2017-03-10T00:13:28.643Z,59.7661,-152.7675,90.8,1.6,ml,,,,0.89,ak,ak15455906,2017-03-10T00:21:27.333Z,"52km W of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-03-10T00:07:28.260Z,33.4496667,-116.4471667,15.13,0.59,ml,14,170,0.0757,0.14,ci,ci37823584,2017-03-10T03:12:37.876Z,"23km NNW of Borrego Springs, CA",earthquake,0.39,0.77,0.072,8,reviewed,ci,ci
2017-03-10T00:01:06.888Z,64.9651,-147.4449,0,1.1,ml,,,,0.83,ak,ak15455670,2017-03-10T00:14:53.679Z,"18km NNE of Badger, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-09T23:49:28.300Z,37.0699,-97.9817,7.16,3.2,mb_lg,,59,0.095,0.46,us,us1000881b,2017-03-10T02:04:30.516Z,"10km SSE of Anthony, Kansas",earthquake,1.3,6.3,0.055,85,reviewed,us,us
2017-03-09T23:46:39.500Z,18.9661,-65.04,8,3,Md,6,291.6,0.61534597,0.18,pr,pr17068006,2017-03-10T04:34:23.955Z,"70km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.5,3.9,0,5,reviewed,pr,pr
2017-03-09T23:42:08.610Z,47.7688333,-122.4701667,26.79,1.38,ml,10,121,0.3004,0.12,uw,uw61239697,2017-03-09T23:59:17.510Z,"3km SSE of Kingston, Washington",earthquake,0.91,2.22,0.068,8,reviewed,uw,uw
2017-03-09T23:29:06.330Z,33.5216667,-116.4665,5.82,-0.15,ml,8,170,0.03413,0.08,ci,ci37823544,2017-03-10T00:44:50.045Z,"20km E of Anza, CA",earthquake,0.28,0.59,0.123,4,reviewed,ci,ci
2017-03-09T23:16:06.740Z,33.4856667,-116.9106667,8.6,0.58,ml,22,64,0.1377,0.12,ci,ci37823512,2017-03-10T03:08:58.857Z,"6km NW of Aguanga, CA",earthquake,0.19,0.79,0.068,11,reviewed,ci,ci
2017-03-09T23:10:39.200Z,18.1991,-67.0562,21,2.7,Md,10,115.2,0.03593261,0.18,pr,pr17068005,2017-03-09T23:48:48.842Z,"8km E of Mayaguez, Puerto Rico",earthquake,0.5,1.2,0,8,reviewed,pr,pr
2017-03-09T23:05:30.420Z,38.8448334,-122.8294983,1.27,0.18,md,4,126,0.007794,0,nc,nc72772256,2017-03-09T23:13:02.256Z,"9km WNW of Cobb, California",earthquake,0.65,0.96,0.1,2,automatic,nc,nc
2017-03-09T23:00:49.130Z,33.2341667,-116.7308333,11.39,0.86,ml,33,66,0.02348,0.18,ci,ci37823496,2017-03-10T02:59:43.420Z,"3km ESE of Lake Henshaw, CA",earthquake,0.26,0.55,0.152,22,reviewed,ci,ci
2017-03-09T22:54:51.850Z,62.9409,-149.3627,63.9,1.9,ml,,,,0.53,ak,ak15455422,2017-03-09T23:07:53.747Z,"54km SSW of Cantwell, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-03-09T22:50:11.580Z,33.5761667,-116.3848333,12.14,0.81,ml,25,121,0.06273,0.13,ci,ci37152644,2017-03-10T02:15:10.402Z,"12km SW of La Quinta, CA",earthquake,0.25,0.39,0.299,17,reviewed,ci,ci
2017-03-09T22:50:07.340Z,34.0926667,-117.4425,4.27,1.46,ml,53,38,0.007553,0.16,ci,ci37823488,2017-03-10T02:09:14.970Z,"2km ESE of Fontana, CA",earthquake,0.17,0.29,0.184,56,reviewed,ci,ci
2017-03-09T22:44:55.217Z,59.5302,-153.4131,103.2,2.4,ml,,,,0.61,ak,ak15455414,2017-03-09T22:56:56.002Z,"88km ESE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-09T22:44:18.560Z,34.0908333,-117.4466667,4.38,1.95,ml,81,22,0.01091,0.2,ci,ci37823480,2017-03-10T01:57:05.540Z,"1km SE of Fontana, CA",earthquake,0.15,0.32,0.204,108,reviewed,ci,ci
2017-03-09T22:40:44.440Z,34.0941667,-117.4436667,4.13,1.47,ml,58,37,0.006755,0.17,ci,ci37823472,2017-03-10T01:41:57.520Z,"1km ESE of Fontana, CA",earthquake,0.16,0.33,0.2,57,reviewed,ci,ci
